Season,Bases,0 Outs,1 Out,2 Outs,Era
1969,-- -- --,0.453,0.239,0.09,Expansion Era
1969,1B -- --,0.827,0.482,0.203,Expansion Era
1969,-- 2B --,1.046,0.646,0.325,Expansion Era
1969,-- -- 3B,1.225,0.858,0.37,Expansion Era
1969,1B 2B --,1.487,0.906,0.444,Expansion Era
1969,1B -- 3B,1.684,1.049,0.495,Expansion Era
1969,-- 2B 3B,1.894,1.301,0.55,Expansion Era
1969,1B 2B 3B,2.423,1.548,0.793,Expansion Era
1970,-- -- --,0.484,0.261,0.096,Expansion Era
1970,1B -- --,0.842,0.507,0.214,Expansion Era
1970,-- 2B --,1.068,0.682,0.344,Expansion Era
1970,-- -- 3B,1.214,0.896,0.405,Expansion Era
1970,1B 2B --,1.483,0.898,0.426,Expansion Era
1970,1B -- 3B,1.716,1.101,0.453,Expansion Era
1970,-- 2B 3B,1.996,1.311,0.559,Expansion Era
1970,1B 2B 3B,2.35,1.476,0.726,Expansion Era
1971,-- -- --,0.435,0.235,0.088,Expansion Era
1971,1B -- --,0.787,0.457,0.208,Expansion Era
1971,-- 2B --,0.938,0.613,0.313,Expansion Era
1971,-- -- 3B,1.23,0.854,0.337,Expansion Era
1971,1B 2B --,1.447,0.84,0.422,Expansion Era
1971,1B -- 3B,1.631,1.118,0.426,Expansion Era
1971,-- 2B 3B,1.923,1.235,0.566,Expansion Era
1971,1B 2B 3B,2.391,1.477,0.678,Expansion Era
1972,-- -- --,0.414,0.215,0.083,Expansion Era
1972,1B -- --,0.785,0.433,0.179,Expansion Era
1972,-- 2B --,0.969,0.611,0.291,Expansion Era
1972,-- -- 3B,1.199,0.856,0.347,Expansion Era
1972,1B 2B --,1.427,0.834,0.39,Expansion Era
1972,1B -- 3B,1.628,1.037,0.424,Expansion Era
1972,-- 2B 3B,1.857,1.27,0.58,Expansion Era
1972,1B 2B 3B,2.306,1.409,0.639,Expansion Era
1973,-- -- --,0.47,0.255,0.096,Expansion Era
1973,1B -- --,0.841,0.503,0.215,Expansion Era
1973,-- 2B --,1.043,0.672,0.338,Expansion Era
1973,-- -- 3B,1.242,0.915,0.385,Expansion Era
1973,1B 2B --,1.474,0.904,0.455,Expansion Era
1973,1B -- 3B,1.714,1.122,0.497,Expansion Era
1973,-- 2B 3B,1.905,1.354,0.612,Expansion Era
1973,1B 2B 3B,2.361,1.58,0.767,Expansion Era
1974,-- -- --,0.463,0.244,0.093,Expansion Era
1974,1B -- --,0.834,0.48,0.215,Expansion Era
1974,-- 2B --,1.091,0.651,0.324,Expansion Era
1974,-- -- 3B,1.237,0.903,0.379,Expansion Era
1974,1B 2B --,1.487,0.872,0.435,Expansion Era
1974,1B -- 3B,1.673,1.18,0.462,Expansion Era
1974,-- 2B 3B,1.935,1.395,0.623,Expansion Era
1974,1B 2B 3B,2.317,1.519,0.81,Expansion Era
1975,-- -- --,0.472,0.251,0.09,Expansion Era
1975,1B -- --,0.821,0.513,0.209,Expansion Era
1975,-- 2B --,1.078,0.675,0.335,Expansion Era
1975,-- -- 3B,1.265,0.89,0.377,Expansion Era
1975,1B 2B --,1.441,0.898,0.465,Expansion Era
1975,1B -- 3B,1.702,1.075,0.459,Expansion Era
1975,-- 2B 3B,1.859,1.297,0.575,Expansion Era
1975,1B 2B 3B,2.29,1.449,0.741,Expansion Era
1976,-- -- --,0.446,0.23,0.082,Expansion Era
1976,1B -- --,0.817,0.472,0.196,Expansion Era
1976,-- 2B --,1.057,0.633,0.302,Expansion Era
1976,-- -- 3B,1.251,0.927,0.36,Expansion Era
1976,1B 2B --,1.469,0.896,0.429,Expansion Era
1976,1B -- 3B,1.704,1.139,0.477,Expansion Era
1976,-- 2B 3B,1.855,1.333,0.617,Expansion Era
1976,1B 2B 3B,2.204,1.507,0.781,Expansion Era
1977,-- -- --,0.503,0.274,0.102,Free Agency Era
1977,1B -- --,0.869,0.522,0.225,Free Agency Era
1977,-- 2B --,1.107,0.711,0.325,Free Agency Era
1977,-- -- 3B,1.322,0.885,0.388,Free Agency Era
1977,1B 2B --,1.492,0.963,0.436,Free Agency Era
1977,1B -- 3B,1.675,1.163,0.487,Free Agency Era
1977,-- 2B 3B,1.916,1.357,0.574,Free Agency Era
1977,1B 2B 3B,2.208,1.614,0.766,Free Agency Era
1978,-- -- --,0.46,0.24,0.085,Free Agency Era
1978,1B -- --,0.831,0.494,0.204,Free Agency Era
1978,-- 2B --,1.072,0.66,0.317,Free Agency Era
1978,-- -- 3B,1.248,0.923,0.369,Free Agency Era
1978,1B 2B --,1.48,0.852,0.416,Free Agency Era
1978,1B -- 3B,1.635,1.137,0.48,Free Agency Era
1978,-- 2B 3B,1.876,1.324,0.544,Free Agency Era
1978,1B 2B 3B,2.289,1.462,0.755,Free Agency Era
1979,-- -- --,0.502,0.268,0.1,Free Agency Era
1979,1B -- --,0.869,0.521,0.229,Free Agency Era
1979,-- 2B --,1.136,0.696,0.323,Free Agency Era
1979,-- -- 3B,1.324,0.953,0.384,Free Agency Era
1979,1B 2B --,1.513,0.962,0.454,Free Agency Era
1979,1B -- 3B,1.76,1.187,0.513,Free Agency Era
1979,-- 2B 3B,2.038,1.42,0.618,Free Agency Era
1979,1B 2B 3B,2.418,1.697,0.799,Free Agency Era
1980,-- -- --,0.48,0.257,0.095,Free Agency Era
1980,1B -- --,0.848,0.508,0.218,Free Agency Era
1980,-- 2B --,1.116,0.677,0.34,Free Agency Era
1980,-- -- 3B,1.365,0.945,0.351,Free Agency Era
1980,1B 2B --,1.468,0.869,0.438,Free Agency Era
1980,1B -- 3B,1.701,1.172,0.52,Free Agency Era
1980,-- 2B 3B,1.955,1.325,0.568,Free Agency Era
1980,1B 2B 3B,2.397,1.59,0.77,Free Agency Era
1981,-- -- --,0.445,0.233,0.086,Free Agency Era
1981,1B -- --,0.804,0.484,0.208,Free Agency Era
1981,-- 2B --,1.029,0.644,0.323,Free Agency Era
1981,-- -- 3B,1.354,0.891,0.352,Free Agency Era
1981,1B 2B --,1.399,0.877,0.438,Free Agency Era
1981,1B -- 3B,1.687,1.116,0.446,Free Agency Era
1981,-- 2B 3B,1.937,1.331,0.556,Free Agency Era
1981,1B 2B 3B,2.34,1.53,0.722,Free Agency Era
1982,-- -- --,0.484,0.252,0.095,Free Agency Era
1982,1B -- --,0.883,0.514,0.218,Free Agency Era
1982,-- 2B --,1.09,0.657,0.319,Free Agency Era
1982,-- -- 3B,1.3,0.944,0.389,Free Agency Era
1982,1B 2B --,1.451,0.913,0.426,Free Agency Era
1982,1B -- 3B,1.758,1.204,0.496,Free Agency Era
1982,-- 2B 3B,1.962,1.411,0.593,Free Agency Era
1982,1B 2B 3B,2.209,1.526,0.769,Free Agency Era
1983,-- -- --,0.483,0.248,0.098,Free Agency Era
1983,1B -- --,0.873,0.501,0.215,Free Agency Era
1983,-- 2B --,1.12,0.661,0.326,Free Agency Era
1983,-- -- 3B,1.302,0.946,0.365,Free Agency Era
1983,1B 2B --,1.471,0.894,0.411,Free Agency Era
1983,1B -- 3B,1.791,1.198,0.495,Free Agency Era
1983,-- 2B 3B,2.015,1.386,0.56,Free Agency Era
1983,1B 2B 3B,2.315,1.542,0.772,Free Agency Era
1984,-- -- --,0.478,0.258,0.098,Free Agency Era
1984,1B -- --,0.859,0.508,0.222,Free Agency Era
1984,-- 2B --,1.09,0.686,0.325,Free Agency Era
1984,-- -- 3B,1.411,0.939,0.381,Free Agency Era
1984,1B 2B --,1.472,0.898,0.432,Free Agency Era
1984,1B -- 3B,1.657,1.159,0.502,Free Agency Era
1984,-- 2B 3B,1.932,1.393,0.624,Free Agency Era
1984,1B 2B 3B,2.336,1.645,0.739,Free Agency Era
1985,-- -- --,0.485,0.259,0.099,Free Agency Era
1985,1B -- --,0.853,0.499,0.216,Free Agency Era
1985,-- 2B --,1.168,0.678,0.332,Free Agency Era
1985,-- -- 3B,1.429,0.995,0.389,Free Agency Era
1985,1B 2B --,1.436,0.916,0.433,Free Agency Era
1985,1B -- 3B,1.736,1.202,0.503,Free Agency Era
1985,-- 2B 3B,2.128,1.419,0.682,Free Agency Era
1985,1B 2B 3B,2.361,1.584,0.762,Free Agency Era
1986,-- -- --,0.497,0.263,0.099,Free Agency Era
1986,1B -- --,0.863,0.525,0.231,Free Agency Era
1986,-- 2B --,1.118,0.691,0.322,Free Agency Era
1986,-- -- 3B,1.352,0.914,0.364,Free Agency Era
1986,1B 2B --,1.473,0.872,0.445,Free Agency Era
1986,1B -- 3B,1.729,1.127,0.532,Free Agency Era
1986,-- 2B 3B,1.982,1.391,0.64,Free Agency Era
1986,1B 2B 3B,2.521,1.492,0.79,Free Agency Era
1987,-- -- --,0.532,0.288,0.108,Free Agency Era
1987,1B -- --,0.918,0.561,0.248,Free Agency Era
1987,-- 2B --,1.183,0.717,0.336,Free Agency Era
1987,-- -- 3B,1.315,0.984,0.394,Free Agency Era
1987,1B 2B --,1.526,0.967,0.469,Free Agency Era
1987,1B -- 3B,1.714,1.226,0.515,Free Agency Era
1987,-- 2B 3B,1.945,1.441,0.599,Free Agency Era
1987,1B 2B 3B,2.222,1.583,0.809,Free Agency Era
1988,-- -- --,0.464,0.243,0.094,Free Agency Era
1988,1B -- --,0.859,0.503,0.212,Free Agency Era
1988,-- 2B --,1.107,0.661,0.32,Free Agency Era
1988,-- -- 3B,1.261,0.928,0.355,Free Agency Era
1988,1B 2B --,1.517,0.897,0.415,Free Agency Era
1988,1B -- 3B,1.746,1.17,0.444,Free Agency Era
1988,-- 2B 3B,1.973,1.397,0.588,Free Agency Era
1988,1B 2B 3B,2.509,1.558,0.746,Free Agency Era
1989,-- -- --,0.465,0.242,0.088,Free Agency Era
1989,1B -- --,0.859,0.505,0.202,Free Agency Era
1989,-- 2B --,1.074,0.679,0.312,Free Agency Era
1989,-- -- 3B,1.307,0.947,0.355,Free Agency Era
1989,1B 2B --,1.467,0.929,0.394,Free Agency Era
1989,1B -- 3B,1.747,1.141,0.463,Free Agency Era
1989,-- 2B 3B,1.871,1.348,0.534,Free Agency Era
1989,1B 2B 3B,2.239,1.609,0.722,Free Agency Era
1990,-- -- --,0.479,0.253,0.091,Free Agency Era
1990,1B -- --,0.871,0.51,0.222,Free Agency Era
1990,-- 2B --,1.112,0.681,0.318,Free Agency Era
1990,-- -- 3B,1.359,0.947,0.396,Free Agency Era
1990,1B 2B --,1.442,0.91,0.434,Free Agency Era
1990,1B -- 3B,1.782,1.183,0.509,Free Agency Era
1990,-- 2B 3B,1.92,1.374,0.578,Free Agency Era
1990,1B 2B 3B,2.333,1.605,0.693,Free Agency Era
1991,-- -- --,0.48,0.253,0.094,Free Agency Era
1991,1B -- --,0.867,0.517,0.225,Free Agency Era
1991,-- 2B --,1.119,0.683,0.344,Free Agency Era
1991,-- -- 3B,1.403,0.949,0.381,Free Agency Era
1991,1B 2B --,1.483,0.915,0.467,Free Agency Era
1991,1B -- 3B,1.757,1.18,0.492,Free Agency Era
1991,-- 2B 3B,1.909,1.393,0.569,Free Agency Era
1991,1B 2B 3B,2.288,1.483,0.777,Free Agency Era
1992,-- -- --,0.464,0.242,0.089,Free Agency Era
1992,1B -- --,0.835,0.493,0.204,Free Agency Era
1992,-- 2B --,1.08,0.644,0.296,Free Agency Era
1992,-- -- 3B,1.365,0.929,0.344,Free Agency Era
1992,1B 2B --,1.466,0.887,0.407,Free Agency Era
1992,1B -- 3B,1.767,1.099,0.444,Free Agency Era
1992,-- 2B 3B,1.985,1.357,0.555,Free Agency Era
1992,1B 2B 3B,2.39,1.51,0.703,Free Agency Era
1993,-- -- --,0.519,0.278,0.104,Free Agency Era
1993,1B -- --,0.905,0.533,0.227,Free Agency Era
1993,-- 2B --,1.147,0.719,0.331,Free Agency Era
1993,-- -- 3B,1.424,0.991,0.383,Free Agency Era
1993,1B 2B --,1.534,0.927,0.479,Free Agency Era
1993,1B -- 3B,1.789,1.18,0.529,Free Agency Era
1993,-- 2B 3B,2.02,1.434,0.605,Free Agency Era
1993,1B 2B 3B,2.419,1.625,0.798,Free Agency Era
1994,-- -- --,0.553,0.3,0.116,Steroid Era
1994,1B -- --,0.949,0.567,0.256,Steroid Era
1994,-- 2B --,1.172,0.736,0.369,Steroid Era
1994,-- -- 3B,1.435,0.991,0.423,Steroid Era
1994,1B 2B --,1.61,0.942,0.473,Steroid Era
1994,1B -- 3B,1.789,1.19,0.568,Steroid Era
1994,-- 2B 3B,2.063,1.484,0.692,Steroid Era
1994,1B 2B 3B,2.37,1.594,0.802,Steroid Era
1995,-- -- --,0.547,0.284,0.107,Steroid Era
1995,1B -- --,0.953,0.554,0.243,Steroid Era
1995,-- 2B --,1.196,0.739,0.345,Steroid Era
1995,-- -- 3B,1.434,0.977,0.387,Steroid Era
1995,1B 2B --,1.594,0.976,0.499,Steroid Era
1995,1B -- 3B,1.935,1.207,0.525,Steroid Era
1995,-- 2B 3B,2.093,1.422,0.634,Steroid Era
1995,1B 2B 3B,2.302,1.668,0.856,Steroid Era
1996,-- -- --,0.568,0.302,0.116,Steroid Era
1996,1B -- --,0.988,0.591,0.26,Steroid Era
1996,-- 2B --,1.223,0.753,0.353,Steroid Era
1996,-- -- 3B,1.501,1.007,0.382,Steroid Era
1996,1B 2B --,1.627,1.033,0.5,Steroid Era
1996,1B -- 3B,1.849,1.217,0.535,Steroid Era
1996,-- 2B 3B,2.135,1.432,0.614,Steroid Era
1996,1B 2B 3B,2.438,1.737,0.855,Steroid Era
1997,-- -- --,0.54,0.292,0.111,Steroid Era
1997,1B -- --,0.929,0.556,0.233,Steroid Era
1997,-- 2B --,1.184,0.713,0.332,Steroid Era
1997,-- -- 3B,1.44,1.028,0.397,Steroid Era
1997,1B 2B --,1.563,0.979,0.446,Steroid Era
1997,1B -- 3B,1.895,1.194,0.519,Steroid Era
1997,-- 2B 3B,1.977,1.35,0.571,Steroid Era
1997,1B 2B 3B,2.413,1.633,0.777,Steroid Era
1998,-- -- --,0.539,0.289,0.11,Steroid Era
1998,1B -- --,0.934,0.576,0.241,Steroid Era
1998,-- 2B --,1.197,0.693,0.338,Steroid Era
1998,-- -- 3B,1.38,0.972,0.377,Steroid Era
1998,1B 2B --,1.515,0.983,0.457,Steroid Era
1998,1B -- 3B,1.827,1.211,0.55,Steroid Era
1998,-- 2B 3B,2.056,1.429,0.599,Steroid Era
1998,1B 2B 3B,2.327,1.606,0.806,Steroid Era
1999,-- -- --,0.575,0.307,0.121,Steroid Era
1999,1B -- --,0.974,0.581,0.256,Steroid Era
1999,-- 2B --,1.218,0.735,0.364,Steroid Era
1999,-- -- 3B,1.464,1.004,0.392,Steroid Era
1999,1B 2B --,1.57,0.965,0.471,Steroid Era
1999,1B -- 3B,1.965,1.243,0.552,Steroid Era
1999,-- 2B 3B,2.126,1.537,0.644,Steroid Era
1999,1B 2B 3B,2.381,1.688,0.813,Steroid Era
2000,-- -- --,0.583,0.315,0.126,Steroid Era
2000,1B -- --,0.99,0.608,0.269,Steroid Era
2000,-- 2B --,1.189,0.74,0.331,Steroid Era
2000,-- -- 3B,1.531,0.995,0.413,Steroid Era
2000,1B 2B --,1.633,1.03,0.49,Steroid Era
2000,1B -- 3B,1.906,1.235,0.518,Steroid Era
2000,-- 2B 3B,2.044,1.517,0.647,Steroid Era
2000,1B 2B 3B,2.542,1.74,0.838,Steroid Era
2001,-- -- --,0.54,0.29,0.117,Steroid Era
2001,1B -- --,0.937,0.554,0.247,Steroid Era
2001,-- 2B --,1.185,0.721,0.353,Steroid Era
2001,-- -- 3B,1.519,0.988,0.374,Steroid Era
2001,1B 2B --,1.547,0.926,0.437,Steroid Era
2001,1B -- 3B,1.869,1.271,0.527,Steroid Era
2001,-- 2B 3B,2.063,1.435,0.603,Steroid Era
2001,1B 2B 3B,2.393,1.629,0.811,Steroid Era
2002,-- -- --,0.523,0.277,0.103,Steroid Era
2002,1B -- --,0.911,0.544,0.231,Steroid Era
2002,-- 2B --,1.166,0.7,0.326,Steroid Era
2002,-- -- 3B,1.421,0.95,0.373,Steroid Era
2002,1B 2B --,1.524,0.949,0.462,Steroid Era
2002,1B -- 3B,1.875,1.212,0.542,Steroid Era
2002,-- 2B 3B,1.984,1.375,0.641,Steroid Era
2002,1B 2B 3B,2.323,1.528,0.795,Steroid Era
2003,-- -- --,0.536,0.284,0.11,Steroid Era
2003,1B -- --,0.936,0.547,0.241,Steroid Era
2003,-- 2B --,1.196,0.715,0.344,Steroid Era
2003,-- -- 3B,1.394,1.042,0.39,Steroid Era
2003,1B 2B --,1.582,0.928,0.46,Steroid Era
2003,1B -- 3B,1.887,1.224,0.531,Steroid Era
2003,-- 2B 3B,2.035,1.435,0.559,Steroid Era
2003,1B 2B 3B,2.495,1.576,0.819,Steroid Era
2004,-- -- --,0.544,0.289,0.114,Steroid Era
2004,1B -- --,0.942,0.556,0.244,Steroid Era
2004,-- 2B --,1.186,0.725,0.343,Steroid Era
2004,-- -- 3B,1.464,0.98,0.38,Steroid Era
2004,1B 2B --,1.51,0.984,0.469,Steroid Era
2004,1B -- 3B,1.882,1.25,0.542,Steroid Era
2004,-- 2B 3B,2.165,1.488,0.63,Steroid Era
2004,1B 2B 3B,2.298,1.616,0.84,Steroid Era
2005,-- -- --,0.521,0.282,0.109,Steroid Era
2005,1B -- --,0.911,0.558,0.24,Steroid Era
2005,-- 2B --,1.147,0.699,0.348,Steroid Era
2005,-- -- 3B,1.516,0.982,0.383,Steroid Era
2005,1B 2B --,1.484,0.936,0.446,Steroid Era
2005,1B -- 3B,1.832,1.186,0.522,Steroid Era
2005,-- 2B 3B,2.059,1.424,0.62,Steroid Era
2005,1B 2B 3B,2.373,1.56,0.765,Steroid Era
2006,-- -- --,0.55,0.302,0.111,Modern Era
2006,1B -- --,0.944,0.576,0.244,Modern Era
2006,-- 2B --,1.163,0.741,0.363,Modern Era
2006,-- -- 3B,1.45,0.969,0.381,Modern Era
2006,1B 2B --,1.589,0.978,0.466,Modern Era
2006,1B -- 3B,1.831,1.188,0.508,Modern Era
2006,-- 2B 3B,1.966,1.459,0.596,Modern Era
2006,1B 2B 3B,2.412,1.707,0.841,Modern Era
2007,-- -- --,0.541,0.287,0.109,Modern Era
2007,1B -- --,0.946,0.552,0.245,Modern Era
2007,-- 2B --,1.191,0.743,0.356,Modern Era
2007,-- -- 3B,1.424,0.99,0.401,Modern Era
2007,1B 2B --,1.536,0.945,0.472,Modern Era
2007,1B -- 3B,1.841,1.22,0.517,Modern Era
2007,-- 2B 3B,2.13,1.459,0.647,Modern Era
2007,1B 2B 3B,2.405,1.647,0.801,Modern Era
2008,-- -- --,0.525,0.282,0.109,Modern Era
2008,1B -- --,0.911,0.541,0.233,Modern Era
2008,-- 2B --,1.162,0.71,0.338,Modern Era
2008,-- -- 3B,1.51,0.965,0.363,Modern Era
2008,1B 2B --,1.559,0.948,0.472,Modern Era
2008,1B -- 3B,1.782,1.17,0.497,Modern Era
2008,-- 2B 3B,2.026,1.426,0.611,Modern Era
2008,1B 2B 3B,2.364,1.611,0.826,Modern Era
2009,-- -- --,0.521,0.279,0.107,Modern Era
2009,1B -- --,0.898,0.539,0.225,Modern Era
2009,-- 2B --,1.147,0.706,0.323,Modern Era
2009,-- -- 3B,1.313,0.968,0.384,Modern Era
2009,1B 2B --,1.501,0.938,0.455,Modern Era
2009,1B -- 3B,1.766,1.222,0.536,Modern Era
2009,-- 2B 3B,2.029,1.413,0.568,Modern Era
2009,1B 2B 3B,2.304,1.583,0.756,Modern Era
2010,-- -- --,0.495,0.264,0.104,Modern Era
2010,1B -- --,0.884,0.517,0.234,Modern Era
2010,-- 2B --,1.107,0.686,0.326,Modern Era
2010,-- -- 3B,1.396,0.937,0.347,Modern Era
2010,1B 2B --,1.444,0.895,0.461,Modern Era
2010,1B -- 3B,1.822,1.118,0.484,Modern Era
2010,-- 2B 3B,1.989,1.404,0.601,Modern Era
2010,1B 2B 3B,2.388,1.539,0.799,Modern Era
2011,-- -- --,0.48,0.259,0.098,Modern Era
2011,1B -- --,0.853,0.505,0.221,Modern Era
2011,-- 2B --,1.069,0.664,0.315,Modern Era
2011,-- -- 3B,1.467,0.938,0.323,Modern Era
2011,1B 2B --,1.432,0.895,0.43,Modern Era
2011,1B -- 3B,1.774,1.157,0.5,Modern Era
2011,-- 2B 3B,1.945,1.353,0.561,Modern Era
2011,1B 2B 3B,2.186,1.504,0.79,Modern Era
2012,-- -- --,0.489,0.261,0.102,Modern Era
2012,1B -- --,0.86,0.524,0.239,Modern Era
2012,-- 2B --,1.121,0.674,0.326,Modern Era
2012,-- -- 3B,1.35,0.963,0.357,Modern Era
2012,1B 2B --,1.422,0.907,0.422,Modern Era
2012,1B -- 3B,1.72,1.13,0.506,Modern Era
2012,-- 2B 3B,1.973,1.355,0.567,Modern Era
2012,1B 2B 3B,2.172,1.555,0.737,Modern Era
2013,-- -- --,0.466,0.244,0.093,Modern Era
2013,1B -- --,0.829,0.502,0.215,Modern Era
2013,-- 2B --,1.103,0.63,0.308,Modern Era
2013,-- -- 3B,1.308,0.92,0.349,Modern Era
2013,1B 2B --,1.401,0.854,0.409,Modern Era
2013,1B -- 3B,1.813,1.117,0.488,Modern Era
2013,-- 2B 3B,1.998,1.39,0.567,Modern Era
2013,1B 2B 3B,2.218,1.565,0.714,Modern Era
2014,-- -- --,0.456,0.238,0.088,Modern Era
2014,1B -- --,0.83,0.485,0.204,Modern Era
2014,-- 2B --,1.078,0.63,0.314,Modern Era
2014,-- -- 3B,1.377,0.938,0.346,Modern Era
2014,1B 2B --,1.392,0.847,0.398,Modern Era
2014,1B -- 3B,1.788,1.105,0.417,Modern Era
2014,-- 2B 3B,1.906,1.36,0.516,Modern Era
2014,1B 2B 3B,2.373,1.517,0.656,Modern Era
2015,-- -- --,0.479,0.254,0.099,Modern Era
2015,1B -- --,0.866,0.509,0.229,Modern Era
2015,-- 2B --,1.127,0.671,0.308,Modern Era
2015,-- -- 3B,1.417,0.97,0.365,Modern Era
2015,1B 2B --,1.489,0.896,0.434,Modern Era
2015,1B -- 3B,1.725,1.128,0.458,Modern Era
2015,-- 2B 3B,2.051,1.362,0.575,Modern Era
2015,1B 2B 3B,2.319,1.607,0.795,Modern Era
2016,-- -- --,0.509,0.274,0.108,Modern Era
2016,1B -- --,0.874,0.525,0.225,Modern Era
2016,-- 2B --,1.145,0.684,0.316,Modern Era
2016,-- -- 3B,1.355,0.952,0.379,Modern Era
2016,1B 2B --,1.463,0.941,0.423,Modern Era
2016,1B -- 3B,1.756,1.212,0.489,Modern Era
2016,-- 2B 3B,1.954,1.378,0.561,Modern Era
2016,1B 2B 3B,2.153,1.577,0.723,Modern Era
2017,-- -- --,0.524,0.277,0.11,Modern Era
2017,1B -- --,0.923,0.532,0.229,Modern Era
2017,-- 2B --,1.183,0.726,0.331,Modern Era
2017,-- -- 3B,1.415,0.986,0.385,Modern Era
2017,1B 2B --,1.52,0.958,0.455,Modern Era
2017,1B -- 3B,1.82,1.222,0.506,Modern Era
2017,-- 2B 3B,2.06,1.498,0.583,Modern Era
2017,1B 2B 3B,2.235,1.666,0.821,Modern Era
2018,-- -- --,0.503,0.269,0.099,Modern Era
2018,1B -- --,0.889,0.537,0.223,Modern Era
2018,-- 2B --,1.138,0.695,0.324,Modern Era
2018,-- -- 3B,1.417,1.009,0.356,Modern Era
2018,1B 2B --,1.447,0.951,0.447,Modern Era
2018,1B -- 3B,1.807,1.221,0.506,Modern Era
2018,-- 2B 3B,1.964,1.375,0.585,Modern Era
2018,1B 2B 3B,2.375,1.499,0.791,Modern Era
2019,-- -- --,0.545,0.296,0.114,Modern Era
2019,1B -- --,0.958,0.571,0.244,Modern Era
2019,-- 2B --,1.181,0.735,0.341,Modern Era
2019,-- -- 3B,1.439,1.007,0.387,Modern Era
2019,1B 2B --,1.572,1.013,0.467,Modern Era
2019,1B -- 3B,1.804,1.244,0.557,Modern Era
2019,-- 2B 3B,2.043,1.453,0.625,Modern Era
2019,1B 2B 3B,2.338,1.655,0.791,Modern Era
2020,-- -- --,0.535,0.288,0.105,Modern Era
2020,1B -- --,0.927,0.563,0.244,Modern Era
2020,-- 2B --,1.167,0.729,0.337,Modern Era
2020,-- -- 3B,1.441,0.994,0.412,Modern Era
2020,1B 2B --,1.624,0.962,0.47,Modern Era
2020,1B -- 3B,1.619,1.327,0.567,Modern Era
2020,-- 2B 3B,1.991,1.518,0.599,Modern Era
2020,1B 2B 3B,2.519,1.749,0.757,Modern Era
2021,-- -- --,0.511,0.266,0.102,Modern Era
2021,1B -- --,0.924,0.535,0.229,Modern Era
2021,-- 2B --,1.155,0.699,0.328,Modern Era
2021,-- -- 3B,1.386,0.959,0.378,Modern Era
2021,1B 2B --,1.549,0.93,0.449,Modern Era
2021,1B -- 3B,1.764,1.134,0.483,Modern Era
2021,-- 2B 3B,2.14,1.408,0.586,Modern Era
2021,1B 2B 3B,2.486,1.708,0.834,Modern Era
2022,-- -- --,0.478,0.255,0.097,Modern Era
2022,1B -- --,0.879,0.519,0.21,Modern Era
2022,-- 2B --,1.108,0.678,0.314,Modern Era
2022,-- -- 3B,1.236,0.985,0.395,Modern Era
2022,1B 2B --,1.47,0.929,0.446,Modern Era
2022,1B -- 3B,1.778,1.171,0.521,Modern Era
2022,-- 2B 3B,2.03,1.425,0.566,Modern Era
2022,1B 2B 3B,2.432,1.553,0.798,Modern Era
2023,-- -- --,0.52,0.276,0.105,Modern Era
2023,1B -- --,0.914,0.547,0.243,Modern Era
2023,-- 2B --,1.178,0.721,0.315,Modern Era
2023,-- -- 3B,1.468,0.994,0.368,Modern Era
2023,1B 2B --,1.493,0.962,0.483,Modern Era
2023,1B -- 3B,1.835,1.189,0.532,Modern Era
2023,-- 2B 3B,1.949,1.389,0.534,Modern Era
2023,1B 2B 3B,2.286,1.63,0.792,Modern Era
2024,-- -- --,0.49,0.264,0.098,Modern Era
2024,1B -- --,0.896,0.532,0.229,Modern Era
2024,-- 2B --,1.12,0.684,0.341,Modern Era
2024,-- -- 3B,1.4,0.976,0.351,Modern Era
2024,1B 2B --,1.501,0.936,0.448,Modern Era
2024,1B -- 3B,1.909,1.226,0.509,Modern Era
2024,-- 2B 3B,2.01,1.4,0.597,Modern Era
2024,1B 2B 3B,2.329,1.622,0.823,Modern Era
