Season,Bases,0 Outs,1 Out,2 Outs,Era
1924,-- 2B --,1.191,0.737,0.34,Live-Ball Era
1924,-- -- 3B,1.434,0.958,0.43,Live-Ball Era
1924,1B 2B --,1.645,1.021,0.477,Live-Ball Era
1924,1B -- 3B,1.902,1.232,0.585,Live-Ball Era
1924,-- 2B 3B,2.006,1.533,0.695,Live-Ball Era
1924,1B 2B 3B,2.524,1.79,0.896,Live-Ball Era
1925,-- -- --,0.572,0.296,0.105,Live-Ball Era
1925,1B -- --,0.972,0.579,0.225,Live-Ball Era
1925,-- 2B --,1.27,0.795,0.376,Live-Ball Era
1925,-- -- 3B,1.436,1.096,0.412,Live-Ball Era
1925,1B 2B --,1.667,1.065,0.504,Live-Ball Era
1925,1B -- 3B,1.971,1.359,0.563,Live-Ball Era
1925,-- 2B 3B,2.177,1.615,0.688,Live-Ball Era
1925,1B 2B 3B,2.51,1.741,0.869,Live-Ball Era
1926,-- -- --,0.52,0.273,0.09,Live-Ball Era
1926,1B -- --,0.893,0.546,0.221,Live-Ball Era
1926,-- 2B --,1.173,0.763,0.362,Live-Ball Era
1926,-- -- 3B,1.516,1.012,0.385,Live-Ball Era
1926,1B 2B --,1.541,1.002,0.479,Live-Ball Era
1926,1B -- 3B,1.922,1.279,0.545,Live-Ball Era
1926,-- 2B 3B,2.125,1.547,0.629,Live-Ball Era
1926,1B 2B 3B,2.472,1.576,0.785,Live-Ball Era
1927,-- -- --,0.534,0.265,0.09,Live-Ball Era
1927,1B -- --,0.937,0.522,0.206,Live-Ball Era
1927,-- 2B --,1.254,0.73,0.347,Live-Ball Era
1927,-- -- 3B,1.372,1.012,0.397,Live-Ball Era
1927,1B 2B --,1.693,1.003,0.481,Live-Ball Era
1927,1B -- 3B,1.982,1.214,0.569,Live-Ball Era
1927,-- 2B 3B,2.092,1.451,0.669,Live-Ball Era
1927,1B 2B 3B,2.495,1.595,0.747,Live-Ball Era
1928,-- -- --,0.531,0.283,0.1,Live-Ball Era
1928,1B -- --,0.912,0.548,0.217,Live-Ball Era
1928,-- 2B --,1.104,0.738,0.37,Live-Ball Era
1928,-- -- 3B,1.357,0.914,0.403,Live-Ball Era
1928,1B 2B --,1.621,1.006,0.463,Live-Ball Era
1928,1B -- 3B,1.808,1.163,0.541,Live-Ball Era
1928,-- 2B 3B,2.077,1.432,0.644,Live-Ball Era
1928,1B 2B 3B,2.488,1.711,0.808,Live-Ball Era
1929,-- -- --,0.58,0.305,0.111,Live-Ball Era
1929,1B -- --,0.981,0.596,0.232,Live-Ball Era
1929,-- 2B --,1.268,0.769,0.383,Live-Ball Era
1929,-- -- 3B,1.576,1.057,0.435,Live-Ball Era
1929,1B 2B --,1.657,1.052,0.458,Live-Ball Era
1929,1B -- 3B,2.06,1.31,0.553,Live-Ball Era
1929,-- 2B 3B,2.241,1.551,0.701,Live-Ball Era
1929,1B 2B 3B,2.568,1.835,0.813,Live-Ball Era
1930,-- -- --,0.628,0.331,0.116,Live-Ball Era
1930,1B -- --,1.062,0.638,0.265,Live-Ball Era
1930,-- 2B --,1.253,0.812,0.395,Live-Ball Era
1930,-- -- 3B,1.515,1.102,0.433,Live-Ball Era
1930,1B 2B --,1.811,1.183,0.558,Live-Ball Era
1930,1B -- 3B,1.838,1.338,0.656,Live-Ball Era
1930,-- 2B 3B,2.319,1.663,0.759,Live-Ball Era
1930,1B 2B 3B,2.82,1.978,0.984,Live-Ball Era
1931,-- -- --,0.544,0.288,0.105,Live-Ball Era
1931,1B -- --,0.947,0.566,0.242,Live-Ball Era
1931,-- 2B --,1.249,0.794,0.359,Live-Ball Era
1931,-- -- 3B,1.491,1.001,0.426,Live-Ball Era
1931,1B 2B --,1.685,1.034,0.488,Live-Ball Era
1931,1B -- 3B,1.905,1.249,0.579,Live-Ball Era
1931,-- 2B 3B,1.96,1.462,0.723,Live-Ball Era
1931,1B 2B 3B,2.485,1.572,0.79,Live-Ball Era
1932,-- -- --,0.553,0.293,0.105,Live-Ball Era
1932,1B -- --,0.956,0.578,0.226,Live-Ball Era
1932,-- 2B --,1.2,0.752,0.367,Live-Ball Era
1932,-- -- 3B,1.326,1.007,0.395,Live-Ball Era
1932,1B 2B --,1.592,1.046,0.477,Live-Ball Era
1932,1B -- 3B,1.92,1.289,0.558,Live-Ball Era
1932,-- 2B 3B,2.015,1.498,0.689,Live-Ball Era
1932,1B 2B 3B,2.463,1.714,0.955,Live-Ball Era
1933,-- -- --,0.505,0.261,0.09,Live-Ball Era
1933,1B -- --,0.91,0.545,0.218,Live-Ball Era
1933,-- 2B --,1.2,0.738,0.335,Live-Ball Era
1933,-- -- 3B,1.439,1.029,0.415,Live-Ball Era
1933,1B 2B --,1.6,0.997,0.473,Live-Ball Era
1933,1B -- 3B,1.853,1.317,0.535,Live-Ball Era
1933,-- 2B 3B,1.925,1.441,0.636,Live-Ball Era
1933,1B 2B 3B,2.567,1.773,0.889,Live-Ball Era
1934,-- -- --,0.552,0.292,0.107,Live-Ball Era
1934,1B -- --,0.941,0.569,0.247,Live-Ball Era
1934,-- 2B --,1.294,0.778,0.378,Live-Ball Era
1934,-- -- 3B,1.556,1.117,0.4,Live-Ball Era
1934,1B 2B --,1.581,1.063,0.505,Live-Ball Era
1934,1B -- 3B,1.885,1.252,0.616,Live-Ball Era
1934,-- 2B 3B,2.21,1.561,0.747,Live-Ball Era
1934,1B 2B 3B,2.501,1.694,0.834,Live-Ball Era
1935,-- -- --,0.547,0.282,0.1,Live-Ball Era
1935,1B -- --,0.961,0.543,0.226,Live-Ball Era
1935,-- 2B --,1.178,0.815,0.357,Live-Ball Era
1935,-- -- 3B,1.42,1.07,0.485,Live-Ball Era
1935,1B 2B --,1.719,1.036,0.463,Live-Ball Era
1935,1B -- 3B,1.856,1.286,0.576,Live-Ball Era
1935,-- 2B 3B,2.071,1.574,0.739,Live-Ball Era
1935,1B 2B 3B,2.34,1.715,0.92,Live-Ball Era
1936,-- -- --,0.59,0.31,0.112,Live-Ball Era
1936,1B -- --,0.998,0.606,0.243,Live-Ball Era
1936,-- 2B --,1.309,0.754,0.368,Live-Ball Era
1936,-- -- 3B,1.374,1.055,0.431,Live-Ball Era
1936,1B 2B --,1.641,1.103,0.519,Live-Ball Era
1936,1B -- 3B,1.854,1.304,0.597,Live-Ball Era
1936,-- 2B 3B,2.096,1.516,0.694,Live-Ball Era
1936,1B 2B 3B,2.518,1.621,0.858,Live-Ball Era
1937,-- -- --,0.555,0.3,0.112,Live-Ball Era
1937,1B -- --,0.942,0.569,0.245,Live-Ball Era
1937,-- 2B --,1.202,0.77,0.363,Live-Ball Era
1937,-- -- 3B,1.589,1.052,0.416,Live-Ball Era
1937,1B 2B --,1.633,1.049,0.492,Live-Ball Era
1937,1B -- 3B,1.843,1.276,0.593,Live-Ball Era
1937,-- 2B 3B,2.003,1.473,0.622,Live-Ball Era
1937,1B 2B 3B,2.508,1.593,0.852,Live-Ball Era
1938,-- -- --,0.557,0.292,0.105,Live-Ball Era
1938,1B -- --,0.97,0.566,0.239,Live-Ball Era
1938,-- 2B --,1.228,0.764,0.37,Live-Ball Era
1938,-- -- 3B,1.412,0.98,0.379,Live-Ball Era
1938,1B 2B --,1.752,1.01,0.493,Live-Ball Era
1938,1B -- 3B,1.809,1.257,0.57,Live-Ball Era
1938,-- 2B 3B,1.997,1.549,0.73,Live-Ball Era
1938,1B 2B 3B,2.402,1.705,0.88,Live-Ball Era
