Season,Bases,0 Outs,1 Out,2 Outs
1967,1B -- 3B,1.704,1.067,0.454
1967,-- 2B 3B,1.983,1.306,0.611
1967,1B 2B 3B,2.258,1.394,0.687
1968,-- -- --,0.383,0.199,0.079
1968,1B -- --,0.72,0.418,0.171
1968,-- 2B --,0.935,0.598,0.291
1968,-- -- 3B,1.072,0.815,0.331
1968,1B 2B --,1.247,0.777,0.383
1968,1B -- 3B,1.554,1.044,0.447
1968,-- 2B 3B,1.752,1.185,0.513
1968,1B 2B 3B,1.997,1.331,0.667
1969,-- -- --,0.453,0.239,0.09
1969,1B -- --,0.827,0.482,0.203
1969,-- 2B --,1.046,0.646,0.325
1969,-- -- 3B,1.225,0.858,0.37
1969,1B 2B --,1.487,0.906,0.444
1969,1B -- 3B,1.684,1.049,0.495
1969,-- 2B 3B,1.894,1.301,0.55
1969,1B 2B 3B,2.423,1.548,0.793
1970,-- -- --,0.484,0.261,0.096
1970,1B -- --,0.842,0.507,0.214
1970,-- 2B --,1.068,0.682,0.344
1970,-- -- 3B,1.214,0.896,0.405
1970,1B 2B --,1.483,0.898,0.426
1970,1B -- 3B,1.716,1.101,0.453
1970,-- 2B 3B,1.996,1.311,0.559
1970,1B 2B 3B,2.35,1.476,0.726
1971,-- -- --,0.435,0.235,0.088
1971,1B -- --,0.787,0.457,0.208
1971,-- 2B --,0.938,0.613,0.313
1971,-- -- 3B,1.23,0.854,0.337
1971,1B 2B --,1.447,0.84,0.422
1971,1B -- 3B,1.631,1.118,0.426
1971,-- 2B 3B,1.923,1.235,0.566
1971,1B 2B 3B,2.391,1.477,0.678
1972,-- -- --,0.414,0.215,0.083
1972,1B -- --,0.785,0.433,0.179
1972,-- 2B --,0.969,0.611,0.291
1972,-- -- 3B,1.199,0.856,0.347
1972,1B 2B --,1.427,0.834,0.39
1972,1B -- 3B,1.628,1.037,0.424
1972,-- 2B 3B,1.857,1.27,0.58
1972,1B 2B 3B,2.306,1.409,0.639
1973,-- -- --,0.47,0.255,0.096
1973,1B -- --,0.841,0.503,0.215
1973,-- 2B --,1.043,0.672,0.338
1973,-- -- 3B,1.242,0.915,0.385
1973,1B 2B --,1.474,0.904,0.455
1973,1B -- 3B,1.714,1.122,0.497
1973,-- 2B 3B,1.905,1.354,0.612
1973,1B 2B 3B,2.361,1.58,0.767
1974,-- -- --,0.463,0.244,0.093
1974,1B -- --,0.834,0.48,0.215
1974,-- 2B --,1.091,0.651,0.324
1974,-- -- 3B,1.237,0.903,0.379
1974,1B 2B --,1.487,0.872,0.435
1974,1B -- 3B,1.673,1.18,0.462
1974,-- 2B 3B,1.935,1.395,0.623
1974,1B 2B 3B,2.317,1.519,0.81
1975,-- -- --,0.472,0.251,0.09
1975,1B -- --,0.821,0.513,0.209
1975,-- 2B --,1.078,0.675,0.335
1975,-- -- 3B,1.265,0.89,0.377
1975,1B 2B --,1.441,0.898,0.465
1975,1B -- 3B,1.702,1.075,0.459
1975,-- 2B 3B,1.859,1.297,0.575
1975,1B 2B 3B,2.29,1.449,0.741
1976,-- -- --,0.446,0.23,0.082
1976,1B -- --,0.817,0.472,0.196
1976,-- 2B --,1.057,0.633,0.302
1976,-- -- 3B,1.251,0.927,0.36
1976,1B 2B --,1.469,0.896,0.429
1976,1B -- 3B,1.704,1.139,0.477
1976,-- 2B 3B,1.855,1.333,0.617
1976,1B 2B 3B,2.204,1.507,0.781
1977,-- -- --,0.503,0.274,0.102
1977,1B -- --,0.869,0.522,0.225
1977,-- 2B --,1.107,0.711,0.325
1977,-- -- 3B,1.322,0.885,0.388
1977,1B 2B --,1.492,0.963,0.436
1977,1B -- 3B,1.675,1.163,0.487
1977,-- 2B 3B,1.916,1.357,0.574
1977,1B 2B 3B,2.208,1.614,0.766
1978,-- -- --,0.46,0.24,0.085
1978,1B -- --,0.831,0.494,0.204
1978,-- 2B --,1.072,0.66,0.317
1978,-- -- 3B,1.248,0.923,0.369
1978,1B 2B --,1.48,0.852,0.416
1978,1B -- 3B,1.635,1.137,0.48
1978,-- 2B 3B,1.876,1.324,0.544
